customer_state,total_orders,late_delivery_rate,avg_delay_days,avg_review_score
AL,397,21.41057934508816,-8.707808564231739,3.861460957178841
MA,717,17.433751743375176,-9.571827057182706,3.8417015341701535
SE,335,15.223880597014924,-10.02089552238806,3.91044776119403
PI,476,13.865546218487395,-11.306722689075631,4.004201680672269
CE,1279,13.76075058639562,-10.80453479280688,3.9468334636434714
RR,41,12.195121951219512,-17.29268292682927,3.902439024390244
BA,3256,12.162162162162163,-10.79453316953317,3.938882063882064
RJ,12350,12.105263157894736,-11.761214574898785,3.9767881241565455
PA,946,11.20507399577167,-14.066596194503171,3.9249471458773786
ES,1995,10.726817042606516,-10.496240601503759,4.091729323308271
PB,517,10.444874274661508,-13.261121856866538,4.085106382978723
TO,274,9.854014598540147,-12.13138686131387,4.156934306569343
MS,701,9.700427960057063,-11.052781740370898,4.16262482168331
PE,1593,9.6045197740113,-13.293785310734464,4.091023226616447
RN,474,9.282700421940929,-13.649789029535865,4.155063291139241
SC,3546,8.206429780033842,-11.503384094754653,4.1398759165256624
GO,1957,6.540623403168115,-12.185487991824221,4.1093510475217165
RS,5344,6.081586826347305,-13.910366766467066,4.188342065868263
MT,886,5.981941309255079,-14.363431151241535,4.1529345372460496
DF,2080,5.673076923076923,-12.048076923076923,4.1379807692307695
MG,11354,4.571076272679233,-13.242998062356879,4.197375374317422
SP,40494,4.494493011310317,-11.075542055613177,4.250761429676825
PR,4923,4.042250660166565,-13.314239284988828,4.243144424131627
AC,80,3.75,-20.725,4.0875
AP,67,2.9850746268656714,-19.686567164179106,4.253731343283582
RO,243,2.880658436213992,-20.102880658436213,4.1687242798353905
AM,145,2.7586206896551726,-19.56551724137931,4.248275862068965
